pair,dealer,ev
"A,A",A,+0.248875
"A,A",2,+0.639281
"A,A",3,+0.686915
"A,A",4,+0.742445
"A,A",5,+0.807680
"A,A",6,+0.829433
"A,A",7,+0.628241
"A,A",8,+0.487068
"A,A",9,+0.361583
"A,A",T,+0.259328
"2,2",A,-0.502960
"2,2",2,-0.035503
"2,2",3,+0.040276
"2,2",4,+0.131835
"2,2",5,+0.303285
"2,2",6,+0.339523
"2,2",7,+0.016854
"2,2",8,-0.178510
"2,2",9,-0.368332
"2,2",T,-0.467223
"3,3",A,-0.532638
"3,3",2,-0.107345
"3,3",3,-0.020910
"3,3",4,+0.162523
"3,3",5,+0.308069
"3,3",6,+0.341393
"3,3",7,-0.041320
"3,3",8,-0.220566
"3,3",9,-0.400077
"3,3",T,-0.506252
"4,4",A,-0.604158
"4,4",2,-0.157065
"4,4",3,-0.007079
"4,4",4,+0.134942
"4,4",5,+0.270672
"4,4",6,+0.300919
"4,4",7,-0.177648
"4,4",8,-0.322299
"4,4",9,-0.487916
"4,4",T,-0.587695
"5,5",A,-0.753664
"5,5",2,-0.196574
"5,5",3,-0.094722
"5,5",4,+0.036917
"5,5",5,+0.188979
"5,5",6,+0.198143
"5,5",7,-0.310948
"5,5",8,-0.482146
"5,5",9,-0.650026
"5,5",T,-0.724627
"6,6",A,-0.673866
"6,6",2,-0.095209
"6,6",3,+0.016399
"6,6",4,+0.149226
"6,6",5,+0.281780
"6,6",6,+0.200706
"6,6",7,-0.192572
"6,6",8,-0.369192
"6,6",9,-0.556615
"6,6",T,-0.659371
"7,7",A,-0.669831
"7,7",2,-0.045474
"7,7",3,+0.058386
"7,7",4,+0.190226
"7,7",5,+0.223432
"7,7",6,+0.239724
"7,7",7,-0.051518
"7,7",8,-0.380784
"7,7",9,-0.548673
"7,7",T,-0.620390
"8,8",A,-0.464023
"8,8",2,+0.118530
"8,8",3,+0.195224
"8,8",4,+0.224740
"8,8",5,+0.326723
"8,8",6,+0.350149
"8,8",7,+0.303269
"8,8",8,-0.059830
"8,8",9,-0.401793
"8,8",T,-0.448160
"9,9",A,-0.189759
"9,9",2,+0.208354
"9,9",3,+0.215775
"9,9",4,+0.306356
"9,9",5,+0.405202
"9,9",6,+0.407389
"9,9",7,+0.358537
"9,9",8,+0.206999
"9,9",9,-0.099249
"9,9",T,-0.274520
"T,T",A,-0.445244
"T,T",2,+0.079724
"T,T",3,+0.159177
"T,T",4,+0.252190
"T,T",5,+0.358542
"T,T",6,+0.379925
"T,T",7,+0.304030
"T,T",8,+0.076675
"T,T",9,-0.183090
"T,T",T,-0.262691